coded_semel,semel,num,YESHUV_CODE,"prec_recruitment",total
197,604,104.371741,5,0.640059701,66.80414539
773,340,104.2834829,5,0.640059701,66.74765494
172,802,104.1811763,5,0.640059701,66.6821726
185,819,104.0750605,5,0.640059701,66.61425216
474,723,103.8961039,5,0.640059701,66.49970925
517,380,103.5607169,5,0.640059701,66.28504155
599,3599,103.5018548,5,0.640059701,66.24736629
457,1297,103.4804409,5,0.640059701,66.23366011
144,1336,103.0651325,5,0.640059701,65.96783794
451,16,102.7843747,5,0.640059701,65.78813619
640,1165,102.7315472,5,0.640059701,65.75432343
384,721,102.7118644,5,0.640059701,65.74172527
904,919,102.697403,5,0.640059701,65.73246911
829,409,102.6901387,5,0.640059701,65.72781952
570,176,102.6518862,5,0.640059701,65.70333564
583,806,102.0188121,5,0.640059701,65.29813042
267,415,102.0131692,5,0.640059701,65.29451863
550,2033,101.8205128,5,0.640059701,65.17120703
666,765,101.8160527,5,0.640059701,65.1683523
459,306,101.7630285,5,0.640059701,65.13441364
432,2048,101.6936937,5,0.640059701,65.09003523
239,1064,101.5921346,5,0.640059701,65.02503135
351,690,101.3108108,5,0.640059701,64.84496732
698,327,100.8926586,5,0.640059701,64.57732495
463,1160,100.6476453,5,0.640059701,64.42050181
720,610,100.6289176,5,0.640059701,64.40851496
361,2010,99.71903806,5,0.640059701,63.82613773
763,707,99.68254892,5,0.640059701,63.80278251
799,397,99.63279205,5,0.640059701,63.77093514
96,727,99.45385618,5,0.640059701,63.6564055
129,749,99.2987509,5,0.640059701,63.55712886
228,1071,99.10109553,5,0.640059701,63.43061762
764,280,98.87771191,5,0.640059701,63.28763877
409,386,98.8226865,5,0.640059701,63.25241922
477,24,98.60353062,5,0.640059701,63.11214637
717,747,98.4993259,5,0.640059701,63.04544913
527,1374,98.44094488,5,0.640059701,63.00808179
709,67,98.30787561,5,0.640059701,62.92290952
350,722,98.13400724,5,0.640059701,62.81162338
665,1138,98.11948702,5,0.640059701,62.80232957
510,796,98.09302326,5,0.640059701,62.78539119
119,731,97.95642118,5,0.640059701,62.6979577
526,1127,97.95238095,5,0.640059701,62.69537171
660,3613,97.91666667,5,0.640059701,62.67251244
528,857,97.81179436,5,0.640059701,62.6053879
421,286,97.61966659,5,0.640059701,62.48241466
721,877,97.57535649,5,0.640059701,62.45405355
766,174,97.32180104,5,0.640059701,62.29176292
401,744,97.29184482,5,0.640059701,62.27258915
565,2061,96.90248167,5,0.640059701,62.02337349
548,863,96.69243942,5,0.640059701,61.88893391
780,1183,96.61089436,5,0.640059701,61.8367402
512,762,96.51117159,5,0.640059701,61.77291168
712,115,96.50001936,5,0.640059701,61.76577359
444,2013,96.47633474,5,0.640059701,61.75061401
209,803,96.43524786,5,0.640059701,61.72431596
633,259,96.06578947,5,0.640059701,61.48784053
407,130,95.84688473,5,0.640059701,61.34772843
475,3784,95.66943885,5,0.640059701,61.23415247
816,72,95.66270028,5,0.640059701,61.22983939
703,1177,95.4768353,5,0.640059701,61.1108747
617,680,95.40351879,5,0.640059701,61.06394776
736,48,95.27435244,5,0.640059701,60.98127358
612,363,95,5,0.640059701,60.80567164
375,233,94.96510022,5,0.640059701,60.7833337
567,2029,94.94194161,5,0.640059701,60.76851081
285,414,94.92470508,5,0.640059701,60.7574784
580,1221,94.86227468,5,0.640059701,60.71751921
343,334,89.39679499,5,0.677,60.52163021
715,748,94.41233835,5,0.640059701,60.4295331
352,773,94.2729364,5,0.640059701,60.34030753
574,613,94.09467945,5,0.640059701,60.22621244
308,230,93.50608083,5,0.640059701,59.84947418
561,673,93.50114416,5,0.640059701,59.84631442
30,208,93.49929154,5,0.640059701,59.84512863
650,726,93.47252584,5,0.640059701,59.82799699
398,383,93.2905222,5,0.640059701,59.71150379
493,80,93.17553741,5,0.640059701,59.63790666
443,1065,93.00053419,5,0.640059701,59.52589415
435,178,92.74956428,5,0.640059701,59.36525843
850,784,92.61892093,5,0.640059701,59.28163888
227,2049,92.28693479,5,0.640059701,59.06914793
465,7,91.90754857,5,0.640059701,58.8263181
825,3488,91.85109674,5,0.640059701,58.79018556
805,706,91.79360588,4,0.640059701,58.75338798
151,582,91.45409094,4,0.640059701,58.53607815
615,800,91.4380899,4,0.640059701,58.52583653
653,2045,91.35843794,4,0.640059701,58.47485452
535,805,91.24074307,4,0.640059701,58.39952277
637,839,91.24061033,4,0.640059701,58.39943781
525,289,91.15602562,4,0.640059701,58.34529855
