semel,total,,,,male,,,,female,,,
493.00,97.00,,,,51.00,,,,45.00,,,
494.00,17653.00,,,,8979.00,,,,8674.00,,,
496.00,6410.00,,,,3218.00,,,,3192.00,,,
497.00,1865.00,,,,937.00,,,,927.00,,,
498.00,14240.00,,,,7319.00,,,,6921.00,,,
499.00,19151.00,,,,9664.00,,,,9487.00,,,
502.00,17171.00,,,,8841.00,,,,8329.00,,,
504.00,14095.00,,,,7113.00,,,,6983.00,,,
505.00,3589.00,,,,1794.00,,,,1795.00,,,
507.00,10133.00,,,,5096.00,,,,5037.00,,,
508.00,3373.00,,,,1670.00,,,,1702.00,,,
509.00,22751.00,,,,11607.00,,,,11144.00,,,
510.00,20188.00,,,,10546.00,,,,9642.00,,,
511.00,8356.00,,,,4283.00,,,,4073.00,,,
512.00,2750.00,,,,1424.00,,,,1326.00,,,
514.00,1250.00,,,,630.00,,,,620.00,,,
516.00,15455.00,,,,7937.00,,,,7519.00,,,
517.00,3929.00,,,,1993.00,,,,1936.00,,,
518.00,3244.00,,,,1613.00,,,,1631.00,,,
520.00,8373.00,,,,4323.00,,,,4051.00,,,
521.00,3505.00,,,,1811.00,,,,1694.00,,,
522.00,13113.00,,,,6653.00,,,,6459.00,,,
523.00,1876.00,,,,937.00,,,,940.00,,,
524.00,2324.00,,,,1185.00,,,,1138.00,,,
525.00,4270.00,,,,2213.00,,,,2057.00,,,
526.00,2609.00,,,,1308.00,,,,1301.00,,,
527.00,323.00,,,,179.00,,,,145.00,,,
528.00,3276.00,,,,1717.00,,,,1559.00,,,
529.00,13305.00,,,,6698.00,,,,6607.00,,,
530.00,5752.00,,,,2927.00,,,,2825.00,,,
531.00,25833.00,,,,13042.00,,,,12791.00,,,
532.00,13335.00,,,,6776.00,,,,6560.00,,,
534.00,12503.00,,,,6296.00,,,,6207.00,,,
535.00,3172.00,,,,1595.00,,,,1577.00,,,
536.00,5893.00,,,,3016.00,,,,2876.00,,,
537.00,13247.00,,,,6676.00,,,,6571.00,,,
538.00,7061.00,,,,3570.00,,,,3491.00,,,
539.00,1212.00,,,,654.00,,,,558.00,,,
540.00,1195.00,,,,614.00,,,,581.00,,,
541.00,14930.00,,,,7427.00,,,,7503.00,,,
542.00,19001.00,,,,9685.00,,,,9316.00,,,
543.00,7728.00,,,,3881.00,,,,3847.00,,,
546.00,886.00,,,,445.00,,,,442.00,,,
547.00,1601.00,,,,801.00,,,,801.00,,,
549.00,971.00,,,,507.00,,,,463.00,,,
553.00,726.00,,,,365.00,,,,361.00,,,
555.00,593.00,,,,289.00,,,,305.00,,,
559.00,1302.00,,,,659.00,,,,643.00,,,
562.00,1568.00,,,,823.00,,,,744.00,,,
563.00,949.00,,,,477.00,,,,472.00,,,
564.00,813.00,,,,405.00,,,,408.00,,,
565.00,12957.00,,,,6433.00,,,,6524.00,,,
566.00,64.00,,,,44.00,,,,20.00,,,
567.00,930.00,,,,455.00,,,,475.00,,,
570.00,963.00,,,,492.00,,,,471.00,,,
571.00,1019.00,,,,520.00,,,,499.00,,,
572.00,578.00,,,,277.00,,,,301.00,,,
573.00,484.00,,,,253.00,,,,231.00,,,
574.00,1614.00,,,,809.00,,,,805.00,,,
575.00,867.00,,,,436.00,,,,432.00,,,
576.00,1054.00,,,,519.00,,,,536.00,,,
577.00,4268.00,,,,2141.00,,,,2127.00,,,
578.00,416.00,,,,207.00,,,,209.00,,,
579.00,1363.00,,,,668.00,,,,694.00,,,
580.00,777.00,,,,400.00,,,,377.00,,,
582.00,1260.00,,,,652.00,,,,608.00,,,
584.00,852.00,,,,445.00,,,,408.00,,,
585.00,627.00,,,,313.00,,,,314.00,,,
586.00,847.00,,,,416.00,,,,432.00,,,
587.00,4036.00,,,,2018.00,,,,2018.00,,,
588.00,1417.00,,,,726.00,,,,691.00,,,
589.00,295.00,,,,134.00,,,,160.00,,,
590.00,349.00,,,,180.00,,,,170.00,,,
591.00,1012.00,,,,484.00,,,,528.00,,,
592.00,903.00,,,,437.00,,,,466.00,,,
593.00,1147.00,,,,606.00,,,,541.00,,,
594.00,971.00,,,,475.00,,,,496.00,,,
595.00,705.00,,,,354.00,,,,351.00,,,
596.00,462.00,,,,226.00,,,,236.00,,,
597.00,689.00,,,,340.00,,,,348.00,,,
598.00,1405.00,,,,698.00,,,,707.00,,,
599.00,595.00,,,,295.00,,,,300.00,,,
602.00,360.00,,,,178.00,,,,182.00,,,
603.00,275.00,,,,151.00,,,,124.00,,,
604.00,1174.00,,,,615.00,,,,559.00,,,
605.00,559.00,,,,277.00,,,,283.00,,,
606.00,1331.00,,,,672.00,,,,659.00,,,
607.00,985.00,,,,458.00,,,,527.00,,,
609.00,775.00,,,,400.00,,,,375.00,,,
610.00,1102.00,,,,558.00,,,,544.00,,,
612.00,1097.00,,,,550.00,,,,547.00,,,
613.00,972.00,,,,496.00,,,,477.00,,,
614.00,353.00,,,,178.00,,,,175.00,,,
615.00,1607.00,,,,801.00,,,,806.00,,,
616.00,1205.00,,,,632.00,,,,573.00,,,
617.00,553.00,,,,265.00,,,,289.00,,,
618.00,875.00,,,,444.00,,,,432.00,,,
619.00,435.00,,,,212.00,,,,223.00,,,
620.00,697.00,,,,325.00,,,,372.00,,,
622.00,863.00,,,,380.00,,,,483.00,,,
623.00,404.00,,,,211.00,,,,193.00,,,
627.00,10148.00,,,,5214.00,,,,4935.00,,,
628.00,12100.00,,,,6135.00,,,,5965.00,,,
633.00,3678.00,,,,1838.00,,,,1840.00,,,
634.00,23823.00,,,,12211.00,,,,11612.00,,,
635.00,4081.00,,,,2057.00,,,,2025.00,,,
636.00,1644.00,,,,839.00,,,,804.00,,,
637.00,25245.00,,,,12791.00,,,,12454.00,,,
638.00,23143.00,,,,11854.00,,,,11290.00,,,
648.00,383.00,,,,181.00,,,,203.00,,,
649.00,2017.00,,,,998.00,,,,1019.00,,,
652.00,2835.00,,,,1444.00,,,,1391.00,,,
654.00,19018.00,,,,9626.00,,,,9393.00,,,
658.00,2887.00,,,,1465.00,,,,1422.00,,,
661.00,1907.00,,,,982.00,,,,925.00,,,
662.00,1135.00,,,,555.00,,,,580.00,,,
663.00,1201.00,,,,597.00,,,,605.00,,,
664.00,526.00,,,,270.00,,,,256.00,,,
665.00,722.00,,,,362.00,,,,360.00,,,
666.00,7530.00,,,,3748.00,,,,3782.00,,,
667.00,594.00,,,,308.00,,,,286.00,,,
668.00,1024.00,,,,508.00,,,,515.00,,,
670.00,556.00,,,,282.00,,,,274.00,,,
672.00,744.00,,,,367.00,,,,376.00,,,
673.00,893.00,,,,439.00,,,,454.00,,,
674.00,692.00,,,,362.00,,,,330.00,,,
675.00,369.00,,,,189.00,,,,180.00,,,
676.00,361.00,,,,188.00,,,,173.00,,,
677.00,932.00,,,,474.00,,,,458.00,,,
678.00,380.00,,,,195.00,,,,186.00,,,
679.00,821.00,,,,414.00,,,,407.00,,,
680.00,849.00,,,,434.00,,,,415.00,,,
681.00,26578.00,,,,13187.00,,,,13391.00,,,
682.00,910.00,,,,485.00,,,,425.00,,,
683.00,1200.00,,,,582.00,,,,618.00,,,
684.00,711.00,,,,356.00,,,,355.00,,,
685.00,798.00,,,,397.00,,,,401.00,,,
686.00,1155.00,,,,601.00,,,,554.00,,,
687.00,1150.00,,,,575.00,,,,575.00,,,
688.00,712.00,,,,358.00,,,,354.00,,,
689.00,1329.00,,,,663.00,,,,666.00,,,
690.00,877.00,,,,436.00,,,,441.00,,,
692.00,920.00,,,,463.00,,,,458.00,,,
693.00,654.00,,,,314.00,,,,340.00,,,
694.00,2039.00,,,,1031.00,,,,1009.00,,,
695.00,532.00,,,,269.00,,,,263.00,,,
696.00,6598.00,,,,3322.00,,,,3276.00,,,
697.00,1143.00,,,,582.00,,,,561.00,,,
698.00,1136.00,,,,570.00,,,,565.00,,,
699.00,877.00,,,,422.00,,,,455.00,,,
700.00,1486.00,,,,740.00,,,,746.00,,,
701.00,735.00,,,,391.00,,,,345.00,,,
702.00,181.00,,,,83.00,,,,98.00,,,
703.00,464.00,,,,236.00,,,,228.00,,,
705.00,405.00,,,,199.00,,,,206.00,,,
706.00,969.00,,,,485.00,,,,484.00,,,
707.00,708.00,,,,356.00,,,,352.00,,,
708.00,772.00,,,,389.00,,,,383.00,,,
709.00,2178.00,,,,1102.00,,,,1076.00,,,
710.00,1708.00,,,,828.00,,,,880.00,,,
711.00,1227.00,,,,645.00,,,,582.00,,,
712.00,766.00,,,,390.00,,,,376.00,,,
713.00,409.00,,,,201.00,,,,208.00,,,
714.00,557.00,,,,289.00,,,,269.00,,,
715.00,1021.00,,,,503.00,,,,518.00,,,
716.00,534.00,,,,279.00,,,,255.00,,,
717.00,1162.00,,,,582.00,,,,580.00,,,
718.00,1082.00,,,,563.00,,,,519.00,,,
719.00,417.00,,,,208.00,,,,210.00,,,
720.00,1396.00,,,,760.00,,,,636.00,,,
721.00,590.00,,,,287.00,,,,303.00,,,
722.00,1089.00,,,,548.00,,,,540.00,,,
723.00,847.00,,,,447.00,,,,400.00,,,
726.00,548.00,,,,255.00,,,,293.00,,,
727.00,997.00,,,,485.00,,,,512.00,,,
729.00,1047.00,,,,534.00,,,,513.00,,,
730.00,651.00,,,,333.00,,,,318.00,,,
731.00,795.00,,,,387.00,,,,408.00,,,
732.00,810.00,,,,411.00,,,,399.00,,,
734.00,997.00,,,,529.00,,,,469.00,,,
735.00,749.00,,,,371.00,,,,378.00,,,
736.00,1451.00,,,,755.00,,,,697.00,,,
737.00,1131.00,,,,549.00,,,,582.00,,,
738.00,443.00,,,,215.00,,,,228.00,,,
739.00,1571.00,,,,804.00,,,,768.00,,,
740.00,1238.00,,,,634.00,,,,604.00,,,
741.00,655.00,,,,321.00,,,,334.00,,,
742.00,1215.00,,,,587.00,,,,628.00,,,
743.00,956.00,,,,484.00,,,,472.00,,,
